method,run,samples,area,mean_area
uniform_square,74,40000,1.5028,1.5218479999999999
uniform_square,75,40000,1.5828,1.5218479999999999
uniform_square,76,40000,1.5608,1.5218479999999999
uniform_square,77,40000,1.5452,1.5218479999999999
uniform_square,78,40000,1.5236,1.5218479999999999
uniform_square,79,40000,1.5192,1.5218479999999999
uniform_square,80,40000,1.5008,1.5218479999999999
uniform_square,81,40000,1.5572,1.5218479999999999
uniform_square,82,40000,1.5248,1.5218479999999999
uniform_square,83,40000,1.5228,1.5218479999999999
uniform_square,84,40000,1.5492,1.5218479999999999
uniform_square,85,40000,1.5204,1.5218479999999999
uniform_square,86,40000,1.5188,1.5218479999999999
uniform_square,87,40000,1.5128,1.5218479999999999
uniform_square,88,40000,1.5804,1.5218479999999999
uniform_square,89,40000,1.5068,1.5218479999999999
uniform_square,90,40000,1.5208,1.5218479999999999
uniform_square,91,40000,1.5112,1.5218479999999999
uniform_square,92,40000,1.4832,1.5218479999999999
uniform_square,93,40000,1.5272,1.5218479999999999
uniform_square,94,40000,1.5412,1.5218479999999999
uniform_square,95,40000,1.4864,1.5218479999999999
uniform_square,96,40000,1.51,1.5218479999999999
uniform_square,97,40000,1.5332,1.5218479999999999
uniform_square,98,40000,1.522,1.5218479999999999
uniform_square,99,40000,1.498,1.5218479999999999
uniform_square,100,40000,1.5008,1.5218479999999999
uniform_circle,1,40000,1.5327830556864606,1.5203564859451861
uniform_circle,2,40000,1.5153472164590371,1.5203564859451861
uniform_circle,3,40000,1.52681402964464,1.5203564859451861
uniform_circle,4,40000,1.5330972149518194,1.5203564859451861
uniform_circle,5,40000,1.501210049517883,1.5203564859451861
uniform_circle,6,40000,1.523986596256409,1.5203564859451861
uniform_circle,7,40000,1.5271281889099988,1.5203564859451861
uniform_circle,8,40000,1.515033057193678,1.5203564859451861
uniform_circle,9,40000,1.504979960702191,1.5203564859451861
uniform_circle,10,40000,1.5224157999296142,1.5203564859451861
uniform_circle,11,40000,1.5354534094420118,1.5203564859451861
uniform_circle,12,40000,1.5087498718864987,1.5203564859451861
uniform_circle,13,40000,1.5139334997649216,1.5203564859451861
uniform_circle,14,40000,1.5090640311518575,1.5203564859451861
uniform_circle,15,40000,1.5202166850721013,1.5203564859451861
uniform_circle,16,40000,1.5151901368263576,1.5203564859451861
uniform_circle,17,40000,1.5211591628681782,1.5203564859451861
uniform_circle,18,40000,1.523358277725691,1.5203564859451861
uniform_circle,19,40000,1.5213162425008577,1.5203564859451861
uniform_circle,20,40000,1.5356104890746913,1.5203564859451861
uniform_circle,21,40000,1.5293273037675117,1.5203564859451861
uniform_circle,22,40000,1.5308981000943065,1.5203564859451861
uniform_circle,23,40000,1.5032520847427164,1.5203564859451861
uniform_circle,24,40000,1.524300755521768,1.5203564859451861
uniform_circle,25,40000,1.5288560648694733,1.5203564859451861
uniform_circle,26,40000,1.5123627034381268,1.5203564859451861
uniform_circle,27,40000,1.5155042960917167,1.5203564859451861
uniform_circle,28,40000,1.5340396927478963,1.5203564859451861
uniform_circle,29,40000,1.5425219929125888,1.5203564859451861
uniform_circle,30,40000,1.5183317294799474,1.5203564859451861
uniform_circle,31,40000,1.5426790725452684,1.5203564859451861
uniform_circle,32,40000,1.5282277463387552,1.5203564859451861
uniform_circle,33,40000,1.519117127643345,1.5203564859451861
uniform_circle,34,40000,1.503409164375396,1.5203564859451861
uniform_circle,35,40000,1.5128339423361652,1.5203564859451861
uniform_circle,36,40000,1.5219445610315758,1.5203564859451861
uniform_circle,37,40000,1.5210020832354987,1.5203564859451861
uniform_circle,38,40000,1.5400087187897171,1.5203564859451861
uniform_circle,39,40000,1.5197454461740627,1.5203564859451861
uniform_circle,40,40000,1.5252432333178452,1.5203564859451861
uniform_circle,41,40000,1.518174649847268,1.5203564859451861
uniform_circle,42,40000,1.5051370403348703,1.5203564859451861
uniform_circle,43,40000,1.519117127643345,1.5203564859451861
uniform_circle,44,40000,1.5068649162943448,1.5203564859451861
uniform_circle,45,40000,1.53294013531914,1.5203564859451861
uniform_circle,46,40000,1.516603853520473,1.5203564859451861
uniform_circle,47,40000,1.5280706667060757,1.5203564859451861
uniform_circle,48,40000,1.5235153573583706,1.5203564859451861
uniform_circle,49,40000,1.524614914787127,1.5203564859451861
uniform_circle,50,40000,1.532625976053781,1.5203564859451861
uniform_circle,51,40000,1.5228870388276525,1.5203564859451861
uniform_circle,52,40000,1.533254294584499,1.5203564859451861
uniform_circle,53,40000,1.500895890252524,1.5203564859451861
uniform_circle,54,40000,1.5324688964211015,1.5203564859451861
uniform_circle,55,40000,1.5120485441727678,1.5203564859451861
uniform_circle,56,40000,1.5090640311518575,1.5203564859451861
uniform_circle,57,40000,1.5214733221335373,1.5203564859451861
uniform_circle,58,40000,1.5299556222982298,1.5203564859451861
uniform_circle,59,40000,1.538123763197563,1.5203564859451861
uniform_circle,60,40000,1.5216304017662168,1.5203564859451861
uniform_circle,61,40000,1.5288560648694733,1.5203564859451861
uniform_circle,62,40000,1.5019954476812805,1.5203564859451861
uniform_circle,63,40000,1.5106348274786523,1.5203564859451861
uniform_circle,64,40000,1.524300755521768,1.5203564859451861
uniform_circle,65,40000,1.5023096069466395,1.5203564859451861
uniform_circle,66,40000,1.5316834982577041,1.5203564859451861
uniform_circle,67,40000,1.5140905793976012,1.5203564859451861
uniform_circle,68,40000,1.5120485441727678,1.5203564859451861
uniform_circle,69,40000,1.516603853520473,1.5203564859451861
uniform_circle,70,40000,1.52979854266555,1.5203564859451861
uniform_circle,71,40000,1.525557392583204,1.5203564859451861
uniform_circle,72,40000,1.5023096069466395,1.5203564859451861
uniform_circle,73,40000,1.512991021968845,1.5203564859451861
uniform_circle,74,40000,1.5321547371557427,1.5203564859451861
uniform_circle,75,40000,1.5370242057688066,1.5203564859451861
uniform_circle,76,40000,1.5004246513544857,1.5203564859451861
uniform_circle,77,40000,1.5221016406642551,1.5203564859451861
