method,sample_size,run,area
uniform_square,10000,66,1.4816
uniform_square,10000,67,1.4912
uniform_square,10000,68,1.5264
uniform_square,10000,69,1.5088
uniform_square,10000,70,1.5616
uniform_square,10000,71,1.52
uniform_square,10000,72,1.52
uniform_square,10000,73,1.5232
uniform_square,10000,74,1.496
uniform_square,10000,75,1.5152
uniform_square,10000,76,1.5424
uniform_square,10000,77,1.4768
uniform_square,10000,78,1.5008
uniform_square,10000,79,1.5776
uniform_square,10000,80,1.4944
uniform_square,10000,81,1.5056
uniform_square,10000,82,1.5808
uniform_square,10000,83,1.4752
uniform_square,10000,84,1.4224
uniform_square,10000,85,1.5216
uniform_square,10000,86,1.4336
uniform_square,10000,87,1.4336
uniform_square,10000,88,1.5424
uniform_square,10000,89,1.5104
uniform_square,10000,90,1.5392
uniform_square,10000,91,1.5552
uniform_square,10000,92,1.4464
uniform_square,10000,93,1.5824
uniform_square,10000,94,1.5792
uniform_square,10000,95,1.5072
uniform_square,10000,96,1.5664
uniform_square,10000,97,1.5616
uniform_square,10000,98,1.4336
uniform_square,10000,99,1.3936
uniform_square,10000,100,1.488
uniform_circle,10000,1,1.4872299622094085
uniform_circle,10000,2,1.4828317324943827
uniform_circle,10000,3,1.5211591628681782
uniform_circle,10000,4,1.538123763197563
uniform_circle,10000,5,1.4708936804107415
uniform_circle,10000,6,1.5224157999296142
uniform_circle,10000,7,1.4884865992708445
uniform_circle,10000,8,1.4796901398407931
uniform_circle,10000,9,1.5387520817282812
uniform_circle,10000,10,1.5582299561805377
uniform_circle,10000,11,1.5481768596890504
uniform_circle,10000,12,1.49288482898587
uniform_circle,10000,13,1.4696370433493058
uniform_circle,10000,14,1.5726812823870508
uniform_circle,10000,15,1.5714246453256149
uniform_circle,10000,16,1.5506901338119223
uniform_circle,10000,17,1.5431503114433067
uniform_circle,10000,18,1.4690087248185877
uniform_circle,10000,19,1.5054511996002293
uniform_circle,10000,20,1.521787481398896
uniform_circle,10000,21,1.5261857111139219
uniform_circle,10000,22,1.4840883695558187
uniform_circle,10000,23,1.5192742072760244
uniform_circle,10000,24,1.5180175702145886
uniform_circle,10000,25,1.5224157999296142
uniform_circle,10000,26,1.4840883695558187
uniform_circle,10000,27,1.5343538520132554
uniform_circle,10000,28,1.49288482898587
uniform_circle,10000,29,1.5324688964211015
uniform_circle,10000,30,1.4979113772316137
uniform_circle,10000,31,1.5010529698852035
uniform_circle,10000,32,1.5387520817282812
uniform_circle,10000,33,1.5117343849074087
uniform_circle,10000,34,1.52367243699105
uniform_circle,10000,35,1.5343538520132554
uniform_circle,10000,36,1.4840883695558187
uniform_circle,10000,37,1.5293273037675117
uniform_circle,10000,38,1.5136193404995628
uniform_circle,10000,39,1.509849429315255
uniform_circle,10000,40,1.5506901338119223
uniform_circle,10000,41,1.5274423481753578
uniform_circle,10000,42,1.5513184523426402
uniform_circle,10000,43,1.5469202226276146
uniform_circle,10000,44,1.4708936804107415
uniform_circle,10000,45,1.555088363526948
uniform_circle,10000,46,1.5205308443374603
uniform_circle,10000,47,1.5180175702145886
uniform_circle,10000,48,1.5607432303034097
uniform_circle,10000,49,1.52367243699105
uniform_circle,10000,50,1.49288482898587
uniform_circle,10000,51,1.541893674381871
uniform_circle,10000,52,1.4872299622094085
uniform_circle,10000,53,1.5274423481753578
uniform_circle,10000,54,1.5261857111139219
uniform_circle,10000,55,1.49288482898587
uniform_circle,10000,56,1.5186458887453063
uniform_circle,10000,57,1.510477747845973
uniform_circle,10000,58,1.4608405839192542
uniform_circle,10000,59,1.5343538520132554
uniform_circle,10000,60,1.4708936804107415
uniform_circle,10000,61,1.4991680142930497
uniform_circle,10000,62,1.5349821705439735
uniform_circle,10000,63,1.5211591628681782
uniform_circle,10000,64,1.509221110784537
uniform_circle,10000,65,1.5500618152812042
uniform_circle,10000,66,1.5023096069466395
